"label","new_genomes/Aameric_YS121.v1.cds.fasta","new_genomes/Abit_YS124.v1.cds.fasta","new_genomes/Cang_YS89.v1.cds.fasta","new_genomes/Ccajan.v1.cds.fasta","new_genomes/Ccin_YS129.v1.cds.fasta","new_genomes/Cens_YS85.v1.cds.fasta","new_genomes/Cmolle_YS235.v1.cds.fasta","new_genomes/Cmuc_YS125.v1.cds.fasta","new_genomes/Cros_YS43.v1.cds.fasta","new_genomes/Ctet_YS88.v1.cds.fasta","new_genomes/Duni_YS76.v1.cds.fasta","new_genomes/Eind_YS44.hap1.v1.cds.fasta","new_genomes/GmaxWm82ISU_01_724_v2.1.cds_primaryTranscriptOnly.fa","new_genomes/Gstr_YS140.v1.cds.fasta","new_genomes/HpodTM013.v1.cds.fasta","new_genomes/Isuf_YS112.v1.cds.fasta","new_genomes/Itin_YS146.v1.cds.fasta","new_genomes/Lcun_YS151.v1.cds.fasta","new_genomes/Lpur_YS149.v1.cds.fasta","new_genomes/Matro_YS75.v1.cds.fasta","new_genomes/Maxil_YS73.v1.cds.fasta","new_genomes/Mlat_YS84.v1.cds.fasta","new_genomes/Mpru_YS155.v1.cds.fasta","new_genomes/Msam_YS158.v1.cds.fasta","new_genomes/Pero_YS156.v1.cds.fasta","new_genomes/Plobssplob_YS90.hap1.v1.cds.fasta","new_genomes/Plun_YS103.v1.cds.fasta","new_genomes/Pmon_YS87.hap1.v1.cds.fasta","new_genomes/Pmonvarlob_YS172.hap1.v1.cds.fasta","new_genomes/Ptet_YS159.v1.cds.fasta","new_genomes/Rmin_YS79.v1.cds.fasta","new_genomes/Shelov_YS99.v1.cds.fasta","new_genomes/Smacrob_YS261.v1.cds.fasta","new_genomes/Tlab_YS204.v1.cds.fasta","new_genomes/Tunci_YS212.v1.cds.fasta","new_genomes/Vvexilla_YS115.hap1.v1.cds.fasta","Pvul218cds.fa","TAIR10cds.fa","Vung469cds.fa","Zmarina_668_v3.1.cds_primaryTranscriptOnly.fa"
"Zosma01g22140.1","2.778","2.692","2.866","2.742","2.768","2.824","3.128","3.175","2.828","2.744","2.857","2.828","2.853","2.834","3.251","3.075","2.731","3.154","2.842","2.874","2.683","2.874","2.828","2.816","2.736","2.820","2.839","3.266","2.874","2.742","3.216","2.868","2.825","3.152","2.833","2.858","2.841","1.923","2.876",""
"Zosma04g25890.1","2.929","2.842","3.017","2.893","2.919","2.975","3.278","3.326","2.979","2.895","3.008","2.979","3.003","2.984","3.402","3.226","2.882","3.305","2.993","3.025","2.834","3.025","2.979","2.967","2.887","2.971","2.989","3.417","3.025","2.893","3.367","3.019","2.975","3.303","2.984","3.009","2.992","2.074","3.027",""
"Zosma05g12630.1","2.893","2.807","2.981","2.857","2.883","2.939","3.243","3.290","2.943","2.859","2.972","2.943","2.967","2.948","3.366","3.190","2.846","3.269","2.957","2.989","2.798","2.989","2.943","2.931","2.851","2.935","2.954","3.381","2.989","2.857","3.331","2.983","2.939","3.267","2.948","2.973","2.956","2.038","2.991",""
"Zosma01g02240.1","2.845","2.758","2.933","2.809","2.834","2.891","3.194","3.242","2.895","2.811","2.924","2.895","2.919","2.900","3.318","3.142","2.798","3.221","2.909","2.941","2.750","2.941","2.895","2.882","2.803","2.887","2.905","3.333","2.941","2.809","3.283","2.935","2.891","3.219","2.900","2.925","2.908","1.990","2.943",""
"Zosma05g29700.1","2.665","2.579","2.753","2.629","2.655","2.711","3.015","3.062","2.715","2.631","2.744","2.715","2.740","2.721","3.139","2.962","2.618","3.042","2.729","2.761","2.570","2.761","2.715","2.703","2.623","2.707","2.726","3.153","2.761","2.629","3.103","2.755","2.712","3.039","2.720","2.745","2.729","1.810","2.763",""
"Zosma03g25060.1","2.593","2.507","2.681","2.557","2.583","2.639","2.943","2.990","2.643","2.559","2.672","2.643","2.668","2.648","3.066","2.890","2.546","2.969","2.657","2.689","2.498","2.689","2.643","2.631","2.551","2.635","2.654","3.081","2.689","2.557","3.031","2.683","2.639","2.967","2.648","2.673","2.656","0.897","2.691",""
"AT4G20140.1","2.596","2.510","2.684","2.560","2.586","2.642","2.946","2.993","2.646","2.562","2.675","2.646","2.671","2.652","3.070","2.893","2.549","2.973","2.660","2.692","2.501","2.692","2.646","2.634","2.554","2.638","2.657","3.084","2.692","2.560","3.034","2.686","2.643","2.970","2.651","2.676","2.660","","2.694","0.897"
"Zosma01g06650.1","2.699","2.613","2.787","2.663","2.689","2.745","3.049","3.096","2.749","2.665","2.778","2.749","2.774","2.755","3.173","2.996","2.652","3.076","2.763","2.795","2.604","2.795","2.749","2.737","2.657","2.741","2.760","3.187","2.795","2.663","3.137","2.789","2.746","3.073","2.754","2.779","2.763","1.325","2.797",""
"Zosma01g34950.1","2.971","2.884","3.059","2.935","2.960","3.016","3.320","3.368","3.021","2.937","3.049","3.021","3.045","3.026","3.444","3.268","2.924","3.347","3.035","3.067","2.876","3.066","3.020","3.008","2.928","3.013","3.031","3.459","3.067","2.935","3.409","3.061","3.017","3.345","3.026","3.050","3.034","2.335","3.068",""
"Zosma01g34940.1","2.935","2.849","3.024","2.899","2.925","2.981","3.285","3.332","2.985","2.902","3.014","2.985","3.010","2.991","3.409","3.232","2.888","3.312","2.999","3.032","2.840","3.031","2.985","2.973","2.893","2.977","2.996","3.424","3.032","2.899","3.374","3.025","2.982","3.309","2.990","3.015","2.999","2.300","3.033",""
